 Sample Superpopulation code
0 AG0 AMR
1 AG1 EAS
2 AG2 EAS
3 AG3 EAS
4 AG4 AFR
5 AG5 EAS
6 AG6 EUR
7 AG7 SAS
8 AG8 AFR
9 AG9 EAS
10 AG10 SAS
11 AG11 EAS
12 AG12 EAS
13 AG13 EAS
14 AG14 EUR
15 AG15 EUR
16 AG16 EUR
17 AG17 EUR
18 AG18 AMR
19 AG19 EUR
20 AG20 EUR
21 AG21 AFR
22 AG22 EAS
23 AG23 EAS
24 AG24 AFR
25 AG25 EAS
26 AG26 EUR
27 AG27 EUR
28 AG28 SAS
29 AG29 EUR
30 AG30 SAS
31 AG31 EAS
32 AG32 EUR
33 AG33 EAS
34 AG34 EAS
35 AG35 AFR
36 AG36 EUR
37 AG37 EAS
38 AG38 EAS
39 AG39 EUR
40 AG40 SAS
41 AG41 AFR
42 AG42 AFR
43 AG43 EAS
44 AG44 AFR
45 AG45 SAS
46 AG46 AFR
47 AG47 EAS
48 AG48 EUR
49 AG49 EUR
50 AG50 AFR
51 AG51 AFR
52 AG52 AFR
53 AG53 SAS
54 AG54 AFR
55 AG55 EAS
56 AG56 EUR
57 AG57 EUR
58 AG58 EUR
59 AG59 EUR
60 AG60 EAS
61 AG61 EAS
62 AG62 AFR
63 AG63 EUR
64 AG64 AFR
65 AG65 AFR
66 AG66 EAS
67 AG67 EAS
68 AG68 EUR
69 AG69 EUR
70 AG70 EUR
71 AG71 AFR
72 AG72 EUR
73 AG73 AFR
74 AG74 AFR
75 AG75 EAS
76 AG76 EAS
77 AG77 AFR
78 AG78 SAS
79 AG79 EUR
80 AG80 EAS
81 AG81 AFR
82 AG82 AFR
83 AG83 AMR
84 AG84 AFR
85 AG85 EAS
86 AG86 AFR
87 AG87 AFR
88 AG88 AFR
89 AG89 AFR
90 AG90 AFR
91 AG91 AFR
92 AG92 AFR
93 AG93 EAS
94 AG94 EAS
95 AG95 SAS
96 AG96 EUR
97 AG97 AFR
98 AG98 EUR
99 AG99 AFR
100 AG100 EAS
101 AG101 AFR
102 AG102 EUR
103 AG103 AFR
104 AG104 EAS
105 AG105 AFR
106 AG106 SAS
107 AG107 AFR
108 AG108 AFR
109 AG109 EUR
110 AG110 AFR
111 AG111 EAS
112 AG112 EUR
113 AG113 AFR
114 AG114 AFR
115 AG115 EAS
116 AG116 EUR
117 AG117 SAS
118 AG118 EAS
119 AG119 AFR
120 AG120 EUR
121 AG121 EUR
122 AG122 EAS
123 AG123 AMR
124 AG124 AFR
125 AG125 EUR
126 AG126 EUR
127 AG127 AFR
128 AG128 AFR
129 AG129 SAS
130 AG130 AFR
131 AG131 AFR
132 AG132 EUR
133 AG133 EUR
134 AG134 EAS
135 AG135 EUR
136 AG136 EUR
137 AG137 AMR
138 AG138 SAS
139 AG139 EAS
140 AG140 EUR
141 AG141 AFR
142 AG142 EAS
143 AG143 EAS
144 AG144 EAS
145 AG145 AFR
146 AG146 SAS
147 AG147 EUR
148 AG148 AFR
149 AG149 SAS
150 AG150 EUR
151 AG151 EUR
152 AG152 EAS
153 AG153 AFR
154 AG154 SAS
155 AG155 EUR
156 AG156 SAS
157 AG157 EUR
158 AG158 AFR
159 AG159 AMR
160 AG160 EAS
161 AG161 AFR
162 AG162 SAS
163 AG163 AFR
164 AG164 EUR
165 AG165 EUR
166 AG166 AFR
167 AG167 AMR
168 AG168 SAS
169 AG169 EAS
170 AG170 EAS
171 AG171 EUR
172 AG172 EUR
173 AG173 AMR
174 AG174 EAS
175 AG175 SAS
176 AG176 EAS
177 AG177 EUR
178 AG178 AMR
179 AG179 AFR
180 AG180 SAS
181 AG181 AFR
182 AG182 AFR
183 AG183 EUR
184 AG184 EAS
185 AG185 EUR
186 AG186 EAS
187 AG187 EAS
188 AG188 EUR
189 AG189 EUR
190 AG190 EAS
191 AG191 AFR
192 AG192 EUR
193 AG193 EAS
194 AG194 AFR
195 AG195 EUR
196 AG196 EUR
197 AG197 AFR
198 AG198 AMR
199 AG199 AFR
200 AG200 EUR
201 AG201 AFR
202 AG202 AMR
203 AG203 AFR
204 AG204 EAS
205 AG205 EAS
206 AG206 SAS
207 AG207 EUR
208 AG208 SAS
209 AG209 EAS
210 AG210 EAS
211 AG211 SAS
212 AG212 AFR
213 AG213 EUR
214 AG214 EUR
215 AG215 AFR
216 AG216 AFR
217 AG217 EAS
218 AG218 AFR
219 AG219 AFR
220 AG220 EUR
221 AG221 SAS
222 AG222 AFR
223 AG223 EUR
224 AG224 EUR
225 AG225 SAS
226 AG226 AFR
227 AG227 EUR
228 AG228 EAS
229 AG229 EUR
230 AG230 AFR
231 AG231 AFR
232 AG232 AFR
233 AG233 AFR
234 AG234 AFR
235 AG235 EUR
236 AG236 AFR
237 AG237 EUR
238 AG238 EAS
239 AG239 SAS
240 AG240 SAS
241 AG241 EUR
242 AG242 EUR
243 AG243 EAS
244 AG244 AFR
245 AG245 AFR
246 AG246 AFR
247 AG247 EAS
248 AG248 AFR
249 AG249 AFR
250 AG250 AFR
251 AG251 EAS
252 AG252 EUR
253 AG253 EAS
254 AG254 SAS
255 AG255 EUR
256 AG256 EAS
257 AG257 EUR
258 AG258 AFR
259 AG259 AFR
260 AG260 EUR
261 AG261 AFR
262 AG262 EAS
263 AG263 AFR
264 AG264 AFR
265 AG265 AFR
266 AG266 EUR
267 AG267 SAS
268 AG268 AMR
269 AG269 EAS
270 AG270 AFR
271 AG271 AFR
272 AG272 EAS
273 AG273 AFR
274 AG274 AFR
275 AG275 SAS
276 AG276 EAS
277 AG277 EUR
278 AG278 AFR
279 AG279 EAS
280 AG280 EUR
281 AG281 SAS
282 AG282 EUR
283 AG283 AFR
284 AG284 SAS
285 AG285 EUR
286 AG286 EAS
287 AG287 AFR
288 AG288 AFR
289 AG289 AFR
290 AG290 SAS
291 AG291 AFR
292 AG292 SAS
293 AG293 EUR
294 AG294 EUR
295 AG295 EAS
296 AG296 EUR
297 AG297 EUR
298 AG298 SAS
299 AG299 AFR
300 AG300 AFR
301 AG301 AMR
302 AG302 SAS
303 AG303 SAS
304 AG304 EUR
305 AG305 EAS
306 AG306 EUR
307 AG307 AMR
308 AG308 SAS
309 AG309 AFR
310 AG310 EUR
311 AG311 EUR
312 AG312 EAS
313 AG313 AFR
314 AG314 EUR
315 AG315 AFR
316 AG316 EUR
317 AG317 EUR
318 AG318 SAS
319 AG319 AMR
320 AG320 SAS
321 AG321 EUR
322 AG322 AFR
323 AG323 EUR
324 AG324 AFR
325 AG325 AFR
326 AG326 SAS
327 AG327 AFR
328 AG328 EUR
329 AG329 EAS
330 AG330 SAS
331 AG331 AFR
332 AG332 EAS
333 AG333 AFR
334 AG334 EUR
335 AG335 AFR
336 AG336 EUR
337 AG337 EUR
338 AG338 SAS
339 AG339 AFR
340 AG340 AMR
341 AG341 EUR
342 AG342 SAS
343 AG343 EUR
344 AG344 EUR
345 AG345 EAS
346 AG346 AFR
347 AG347 AFR
348 AG348 EUR
349 AG349 EUR
350 AG350 AFR
351 AG351 AFR
352 AG352 EAS
353 AG353 SAS
354 AG354 AFR
355 AG355 AFR
356 AG356 EUR
357 AG357 AFR
358 AG358 AMR
359 AG359 EUR
360 AG360 AFR
361 AG361 EUR
362 AG362 AFR
363 AG363 EUR
364 AG364 EUR
365 AG365 AFR
366 AG366 EUR
367 AG367 AFR
368 AG368 EAS
369 AG369 EUR
370 AG370 SAS
371 AG371 AFR
372 AG372 EAS
373 AG373 AMR
374 AG374 AFR
375 AG375 EUR
376 AG376 SAS
377 AG377 AFR
378 AG378 AFR
379 AG379 AFR
380 AG380 AFR
381 AG381 AMR
382 AG382 EAS
383 AG383 EUR
384 AG384 SAS
385 AG385 EAS
386 AG386 EUR
387 AG387 SAS
388 AG388 AFR
389 AG389 EUR
390 AG390 EAS
391 AG391 EUR
392 AG392 AFR
393 AG393 EAS
394 AG394 SAS
395 AG395 EUR
396 AG396 AMR
397 AG397 EAS
398 AG398 AFR
399 AG399 AFR
400 AG400 SAS
401 AG401 AFR
402 AG402 EAS
403 AG403 EUR
404 AG404 AFR
405 AG405 EAS
406 AG406 EUR
407 AG407 EUR
408 AG408 AFR
409 AG409 AMR
410 AG410 AFR
411 AG411 AFR
412 AG412 EAS
413 AG413 EUR
414 AG414 SAS
415 AG415 AFR
416 AG416 AMR
417 AG417 EUR
418 AG418 AMR
419 AG419 EUR
420 AG420 SAS
421 AG421 EAS
422 AG422 EAS
423 AG423 EAS
424 AG424 AMR
425 AG425 EAS
426 AG426 EUR
427 AG427 SAS
428 AG428 AMR
429 AG429 EAS
430 AG430 EAS
431 AG431 EUR
432 AG432 EUR
433 AG433 EUR
434 AG434 EUR
435 AG435 SAS
436 AG436 SAS
437 AG437 EAS
438 AG438 AMR
439 AG439 EUR
440 AG440 EAS
441 AG441 AFR
442 AG442 SAS
443 AG443 AFR
444 AG444 EUR
445 AG445 AFR
446 AG446 SAS
447 AG447 EAS
448 AG448 AFR
449 AG449 AMR
450 AG450 EAS
451 AG451 SAS
452 AG452 EUR
453 AG453 EAS
454 AG454 AFR
455 AG455 AFR
456 AG456 EAS
457 AG457 EAS
458 AG458 AFR
459 AG459 AFR
460 AG460 EAS
461 AG461 EUR
462 AG462 EAS
463 AG463 AFR
464 AG464 EAS
465 AG465 EAS
466 AG466 SAS
467 AG467 SAS
468 AG468 AFR
469 AG469 EAS
470 AG470 EUR
471 AG471 EAS
472 AG472 AFR
473 AG473 EAS
474 AG474 EUR
475 AG475 SAS
476 AG476 AFR
