,Model Name,Sample Size,Number Of Random Sample Test,Number Of Neighbors,Base Error Rate,Mean Error Rate On Random Samples,STD Of Error Rate On Random Samples,Max Error Rate On Random Samples,Min Error Rate On Random Samples
0,KNeighborsClassifier,1000,100,1,0.0,0.21351000000000006,0.01236931279376098,0.238,0.179
1,KNeighborsClassifier,1000,100,2,0.166,0.2529,0.012876648663688893,0.286,0.224
2,KNeighborsClassifier,1000,100,3,0.145,0.22247,0.011516746699717527,0.249,0.189
3,KNeighborsClassifier,1000,100,4,0.169,0.22476000000000007,0.011558476709254719,0.25,0.197
4,KNeighborsClassifier,1000,100,5,0.182,0.22240000000000001,0.01216552506059644,0.249,0.186
5,KNeighborsClassifier,1000,100,6,0.185,0.21900000000000003,0.012369725179247155,0.251,0.194
6,KNeighborsClassifier,1000,100,7,0.185,0.21645000000000003,0.012355324374699371,0.24,0.185
7,KNeighborsClassifier,1000,100,8,0.192,0.21839000000000006,0.011934073957040874,0.253,0.189
8,KNeighborsClassifier,1000,100,9,0.201,0.21885000000000002,0.011486817213526542,0.241,0.195
9,KNeighborsClassifier,1000,100,10,0.196,0.21584,0.012182716686297269,0.243,0.184
10,KNeighborsClassifier,1000,100,11,0.2,0.21636,0.011646753568564448,0.249,0.19
11,KNeighborsClassifier,1000,100,12,0.204,0.21950999999999998,0.011891338839421717,0.252,0.182
12,KNeighborsClassifier,1000,100,13,0.201,0.21670999999999999,0.012665306944563167,0.245,0.19
13,KNeighborsClassifier,1000,100,14,0.205,0.21968,0.011034271680321795,0.25,0.194
14,KNeighborsClassifier,1000,100,15,0.204,0.21585,0.010246827545512554,0.243,0.193
15,KNeighborsClassifier,1000,100,16,0.21,0.22055999999999998,0.011259402355993032,0.24,0.189
