,Model Name,Sample Size,Number Of Random Sample Test,Number Of Neighbors,Base Error Rate,Mean Error Rate On Random Samples,STD Of Error Rate On Random Samples,Max Error Rate On Random Samples,Min Error Rate On Random Samples,EUR Mean Error Rate On Random Samples,EUR STD Of Error Rate On Random Samples,EUR Max Error Rate On Random Samples,EUR Min Error Rate On Random Samples,EAS Mean Error Rate On Random Samples,EAS STD Of Error Rate On Random Samples,EAS Max Error Rate On Random Samples,EAS Min Error Rate On Random Samples,AMR Mean Error Rate On Random Samples,AMR STD Of Error Rate On Random Samples,AMR Max Error Rate On Random Samples,AMR Min Error Rate On Random Samples,SAS Mean Error Rate On Random Samples,SAS STD Of Error Rate On Random Samples,SAS Max Error Rate On Random Samples,SAS Min Error Rate On Random Samples,AFR Mean Error Rate On Random Samples,AFR STD Of Error Rate On Random Samples,AFR Max Error Rate On Random Samples,AFR Min Error Rate On Random Samples
0,KNeighborsClassifier,1000,1,6,0.176,0.227,,0.227,0.227,0.056179775280898875,,0.056179775280898875,0.056179775280898875,0.04522613065326633,,0.04522613065326633,0.04522613065326633,0.7153284671532847,,0.7153284671532847,0.7153284671532847,0.44651162790697674,,0.44651162790697674,0.44651162790697674,0.05166051660516605,,0.05166051660516605,0.05166051660516605
1,KNeighborsClassifier,1000,1,6,0.176,0.222,,0.222,0.222,0.06598984771573604,,0.06598984771573604,0.06598984771573604,0.045,,0.045,0.045,0.7163120567375887,,0.7163120567375887,0.7163120567375887,0.4293193717277487,,0.4293193717277487,0.4293193717277487,0.06273062730627306,,0.06273062730627306,0.06273062730627306
2,KNeighborsClassifier,1000,1,6,0.176,0.24,,0.24,0.24,0.0707070707070707,,0.0707070707070707,0.0707070707070707,0.057692307692307696,,0.057692307692307696,0.057692307692307696,0.7112676056338029,,0.7112676056338029,0.7112676056338029,0.4630541871921182,,0.4630541871921182,0.4630541871921182,0.07630522088353414,,0.07630522088353414,0.07630522088353414
3,KNeighborsClassifier,1000,1,6,0.176,0.213,,0.213,0.213,0.05025125628140704,,0.05025125628140704,0.05025125628140704,0.04477611940298507,,0.04477611940298507,0.04477611940298507,0.6956521739130435,,0.6956521739130435,0.6956521739130435,0.45714285714285713,,0.45714285714285713,0.45714285714285713,0.06204379562043796,,0.06204379562043796,0.06204379562043796
4,KNeighborsClassifier,1000,1,6,0.176,0.22,,0.22,0.22,0.030456852791878174,,0.030456852791878174,0.030456852791878174,0.05392156862745098,,0.05392156862745098,0.05392156862745098,0.7142857142857143,,0.7142857142857143,0.7142857142857143,0.5,,0.5,0.5,0.06028368794326241,,0.06028368794326241,0.06028368794326241
5,KNeighborsClassifier,1000,1,6,0.176,0.237,,0.237,0.237,0.08717948717948718,,0.08717948717948718,0.08717948717948718,0.041666666666666664,,0.041666666666666664,0.041666666666666664,0.7050359712230215,,0.7050359712230215,0.7050359712230215,0.46766169154228854,,0.46766169154228854,0.46766169154228854,0.07258064516129033,,0.07258064516129033,0.07258064516129033
6,KNeighborsClassifier,1000,1,6,0.176,0.251,,0.251,0.251,0.09375,,0.09375,0.09375,0.06190476190476191,,0.06190476190476191,0.06190476190476191,0.7205882352941176,,0.7205882352941176,0.7205882352941176,0.5,,0.5,0.5,0.07421875,,0.07421875,0.07421875
7,KNeighborsClassifier,1000,1,6,0.176,0.237,,0.237,0.237,0.05641025641025641,,0.05641025641025641,0.05641025641025641,0.03684210526315789,,0.03684210526315789,0.03684210526315789,0.6715328467153284,,0.6715328467153284,0.6715328467153284,0.5094339622641509,,0.5094339622641509,0.5094339622641509,0.07142857142857142,,0.07142857142857142,0.07142857142857142
8,KNeighborsClassifier,1000,1,6,0.176,0.216,,0.216,0.216,0.06666666666666667,,0.06666666666666667,0.06666666666666667,0.02857142857142857,,0.02857142857142857,0.02857142857142857,0.6830985915492958,,0.6830985915492958,0.6830985915492958,0.44607843137254904,,0.44607843137254904,0.44607843137254904,0.03614457831325301,,0.03614457831325301,0.03614457831325301
9,KNeighborsClassifier,1000,1,6,0.176,0.226,,0.226,0.226,0.04878048780487805,,0.04878048780487805,0.04878048780487805,0.0380952380952381,,0.0380952380952381,0.0380952380952381,0.6834532374100719,,0.6834532374100719,0.6834532374100719,0.5177664974619289,,0.5177664974619289,0.5177664974619289,0.04032258064516129,,0.04032258064516129,0.04032258064516129
10,KNeighborsClassifier,1000,1,6,0.176,0.254,,0.254,0.254,0.06862745098039216,,0.06862745098039216,0.06862745098039216,0.028735632183908046,,0.028735632183908046,0.028735632183908046,0.781021897810219,,0.781021897810219,0.781021897810219,0.4930875576036866,,0.4930875576036866,0.4930875576036866,0.0749063670411985,,0.0749063670411985,0.0749063670411985
11,KNeighborsClassifier,1000,1,6,0.176,0.218,,0.218,0.218,0.052132701421800945,,0.052132701421800945,0.052132701421800945,0.04522613065326633,,0.04522613065326633,0.04522613065326633,0.6717557251908397,,0.6717557251908397,0.6717557251908397,0.4433497536945813,,0.4433497536945813,0.4433497536945813,0.078125,,0.078125,0.078125
12,KNeighborsClassifier,1000,1,6,0.176,0.254,,0.254,0.254,0.06878306878306878,,0.06878306878306878,0.06878306878306878,0.043010752688172046,,0.043010752688172046,0.043010752688172046,0.7417218543046358,,0.7417218543046358,0.7417218543046358,0.5210526315789473,,0.5210526315789473,0.5210526315789473,0.07746478873239436,,0.07746478873239436,0.07746478873239436
13,KNeighborsClassifier,1000,1,6,0.176,0.244,,0.244,0.244,0.05825242718446602,,0.05825242718446602,0.05825242718446602,0.027777777777777776,,0.027777777777777776,0.027777777777777776,0.7548387096774194,,0.7548387096774194,0.7548387096774194,0.4696969696969697,,0.4696969696969697,0.4696969696969697,0.06513409961685823,,0.06513409961685823,0.06513409961685823
14,KNeighborsClassifier,1000,1,6,0.176,0.259,,0.259,0.259,0.05,,0.05,0.05,0.027472527472527472,,0.027472527472527472,0.027472527472527472,0.7328767123287672,,0.7328767123287672,0.7328767123287672,0.5817307692307693,,0.5817307692307693,0.5817307692307693,0.06147540983606557,,0.06147540983606557,0.06147540983606557
