,Model Name,Sample Size,Number Of Random Sample Test,Number Of Neighbors,Base Error Rate,Mean Error Rate On Random Samples,STD Of Error Rate On Random Samples,Max Error Rate On Random Samples,Min Error Rate On Random Samples,EUR Mean Error Rate On Random Samples,EUR STD Of Error Rate On Random Samples,EUR Max Error Rate On Random Samples,EUR Min Error Rate On Random Samples,EAS Mean Error Rate On Random Samples,EAS STD Of Error Rate On Random Samples,EAS Max Error Rate On Random Samples,EAS Min Error Rate On Random Samples,AMR Mean Error Rate On Random Samples,AMR STD Of Error Rate On Random Samples,AMR Max Error Rate On Random Samples,AMR Min Error Rate On Random Samples,SAS Mean Error Rate On Random Samples,SAS STD Of Error Rate On Random Samples,SAS Max Error Rate On Random Samples,SAS Min Error Rate On Random Samples,AFR Mean Error Rate On Random Samples,AFR STD Of Error Rate On Random Samples,AFR Max Error Rate On Random Samples,AFR Min Error Rate On Random Samples
0,KNeighborsClassifier,1000,10,6,0.185,0.2331,0.009362454568944807,0.244,0.214,0.069003459002658,0.013620210951732808,0.0918918918918919,0.046875,0.036585227067124186,0.010782369939641524,0.05365853658536585,0.018867924528301886,0.7008700919010227,0.02942698975155632,0.75177304964539,0.6428571428571429,0.5062179709626116,0.035554336895282035,0.5944444444444444,0.47342995169082125,0.05775321659296047,0.010414197791077126,0.07446808510638298,0.04182509505703422
1,KNeighborsClassifier,1000,10,6,0.185,0.22949999999999998,0.013574895129531493,0.261,0.215,0.08349426492171169,0.017351595993148308,0.11170212765957446,0.050761421319796954,0.03371323907665796,0.011213952709827753,0.046948356807511735,0.015625,0.6869887216342043,0.03687314922412173,0.7375886524822695,0.6418918918918919,0.49142571561480414,0.043283015724648,0.5578947368421052,0.4307692307692308,0.05371446753281278,0.014166667636629727,0.07251908396946564,0.029850746268656716
2,KNeighborsClassifier,1000,10,6,0.185,0.2359,0.01014834414517407,0.251,0.218,0.07381821804218602,0.015268273890228317,0.09183673469387756,0.04736842105263158,0.041466499695675015,0.007520026275876285,0.054945054945054944,0.030042918454935622,0.7167668314734147,0.03841094444598071,0.795774647887324,0.6590909090909091,0.4911515994497049,0.04066082660630948,0.5555555555555556,0.4405940594059406,0.06262529059948531,0.006482475751752436,0.07220216606498195,0.04961832061068702
3,KNeighborsClassifier,1000,10,6,0.185,0.2292,0.010972693379476161,0.244,0.211,0.07155870094387262,0.012864696283228507,0.08762886597938144,0.04568527918781726,0.04223615500325371,0.011640927364951181,0.06862745098039216,0.027906976744186046,0.7041652230917219,0.049250399312702406,0.7769784172661871,0.6307692307692307,0.48935793734499144,0.025994863334561285,0.546875,0.45263157894736844,0.05317380232602076,0.012554743355442518,0.07462686567164178,0.033707865168539325
4,KNeighborsClassifier,1000,10,6,0.185,0.22150000000000003,0.01192802489005526,0.241,0.2,0.08001124173221909,0.017881528389274107,0.10204081632653061,0.045454545454545456,0.036762892408276654,0.016133213018778975,0.05741626794258373,0.01015228426395939,0.6775829156523792,0.03877304288077292,0.7352941176470589,0.6147540983606558,0.49166512911907356,0.03493639011644762,0.544973544973545,0.4134078212290503,0.04818838663913842,0.010129763508447432,0.07003891050583658,0.03474903474903475
5,KNeighborsClassifier,1000,10,6,0.185,0.23359999999999997,0.011207140580897518,0.255,0.219,0.07471174811519482,0.02224358756431144,0.11666666666666667,0.034482758620689655,0.03827730987871087,0.01275121833619161,0.0582010582010582,0.014634146341463415,0.7134530970552142,0.03109373589017355,0.7698412698412699,0.6733333333333333,0.4835707085443898,0.023592745932046393,0.5409836065573771,0.4607329842931937,0.06215678330193945,0.009141431496734648,0.08239700374531835,0.05
6,KNeighborsClassifier,1000,10,6,0.185,0.22820000000000001,0.007671013260609343,0.24,0.217,0.07636658570030988,0.015532339399445995,0.09895833333333333,0.05069124423963134,0.036312794315791284,0.014420745562974513,0.06091370558375635,0.018691588785046728,0.7052488064362323,0.03022746559501934,0.7449664429530202,0.6458333333333334,0.4864990017939933,0.024560662304432553,0.5230769230769231,0.44559585492227977,0.0562548760866317,0.008908136183558825,0.07608695652173914,0.04
7,KNeighborsClassifier,1000,10,6,0.185,0.22400000000000003,0.013482498944104459,0.235,0.195,0.06700446917831403,0.015749902719572908,0.09239130434782608,0.0392156862745098,0.03797770195565485,0.015962883845968,0.07692307692307693,0.018691588785046728,0.6838059541971961,0.03054367429153985,0.75,0.6486486486486487,0.4838657403960397,0.029827818791807546,0.52,0.43283582089552236,0.047859884328338834,0.01252251962803055,0.06716417910447761,0.022304832713754646
8,KNeighborsClassifier,1000,10,6,0.185,0.2231,0.007880355321938216,0.236,0.214,0.07440332214276249,0.01083534426511888,0.09045226130653267,0.05181347150259067,0.03438747939553759,0.01099873878843847,0.05102040816326531,0.015544041450777202,0.7007940000779485,0.036776731692314706,0.7372262773722628,0.6212121212121212,0.45772211775717225,0.02888152206237682,0.49489795918367346,0.40298507462686567,0.05792475549542133,0.013165800124346056,0.08185053380782918,0.03816793893129771
9,KNeighborsClassifier,1000,10,6,0.185,0.23690000000000003,0.010743990568375108,0.249,0.217,0.08228137048979942,0.016232117537841213,0.1024390243902439,0.054455445544554455,0.042320590709590565,0.007187488780129063,0.052083333333333336,0.030456852791878174,0.6859429070146288,0.030669381424403078,0.7448275862068966,0.6275862068965518,0.5032825919194179,0.027402712206884082,0.5422885572139303,0.4423076923076923,0.052956961853852146,0.012626135079370271,0.07251908396946564,0.034334763948497854
