#chr	spos	epos	feature	size	color	ChrCopy
22	16050075	16064884	0	1	#029e73	1
22	16064992	16139996	0	1	#029e73	1
22	16140054	16184770	0	1	#029e73	1
22	16184799	16219288	0	1	#029e73	1
22	16219303	16250941	0	1	#029e73	1
22	16250942	16288381	0	1	#029e73	1
22	16288409	16341823	0	1	#029e73	1
22	16341826	16365787	0	1	#029e73	1
22	16365838	16405725	0	1	#029e73	1
22	16405752	16433985	0	1	#029e73	1
22	16433995	16468453	0	1	#029e73	1
22	16468473	16494705	0	1	#029e73	1
22	16494768	16517575	0	1	#029e73	1
22	16517577	16538205	0	1	#029e73	1
22	16538208	16557368	0	1	#029e73	1
22	16557377	16579143	0	1	#029e73	1
22	16579261	16594476	0	1	#029e73	1
22	16594497	16615118	0	1	#029e73	1
22	16615124	16633087	0	1	#d55e00	1
22	16633107	16652473	0	1	#029e73	1
22	16652488	16690871	0	1	#029e73	1
22	16691238	16852601	0	1	#d55e00	1
22	16852625	16858799	0	1	#029e73	1
22	16858804	16866702	0	1	#d55e00	1
22	16866703	16875693	0	1	#029e73	1
22	16875695	16886092	0	1	#029e73	1
22	16886140	16896688	0	1	#029e73	1
22	16896705	16907558	0	1	#029e73	1
22	16907675	16920095	0	1	#029e73	1
22	16920111	16931269	0	1	#029e73	1
22	16931277	16940346	0	1	#029e73	1
22	16940363	16952535	0	1	#029e73	1
22	16952557	17003809	0	1	#029e73	1
22	17003829	17017091	0	1	#029e73	1
22	17017095	17031955	0	1	#029e73	1
22	17031970	17050955	0	1	#029e73	1
22	17050957	17068938	0	1	#029e73	1
22	17068981	17085242	0	1	#029e73	1
22	17085276	17096465	0	1	#029e73	1
22	17096476	17111818	0	1	#029e73	1
22	17111867	17126738	0	1	#029e73	1
22	17126755	17139297	0	1	#029e73	1
22	17139305	17152968	0	1	#029e73	1
22	17153005	17204433	0	1	#029e73	1
22	17204454	17224026	0	1	#029e73	1
22	17224038	17255665	0	1	#029e73	1
22	17255677	17291463	0	1	#029e73	1
22	17291496	17308056	0	1	#029e73	1
22	17308057	17324188	0	1	#029e73	1
22	17324193	17339186	0	1	#029e73	1
22	17339238	17352651	0	1	#029e73	1
22	17352688	17368548	0	1	#029e73	1
22	17368570	17387253	0	1	#029e73	1
22	17387265	17403461	0	1	#029e73	1
22	17403474	17420590	0	1	#029e73	1
22	17420702	17438731	0	1	#029e73	1
22	17438737	17453681	0	1	#029e73	1
22	17453767	17470195	0	1	#029e73	1
22	17470315	17485826	0	1	#029e73	1
22	17486002	17503356	0	1	#029e73	1
22	17503373	17522397	0	1	#029e73	1
22	17522416	17539795	0	1	#029e73	1
22	17539877	17558005	0	1	#029e73	1
22	17558006	17574495	0	1	#029e73	1
22	17574496	17589283	0	1	#029e73	1
22	17589297	17605483	0	1	#029e73	1
22	17605502	17622097	0	1	#029e73	1
22	17622140	17638050	0	1	#029e73	1
22	17638062	17654053	0	1	#029e73	1
22	17654068	17669306	0	1	#029e73	1
22	17669335	17683563	0	1	#029e73	1
22	17683673	17699925	0	1	#029e73	1
22	17699961	17716874	0	1	#029e73	1
22	17716925	17730634	0	1	#029e73	1
22	17730658	17745200	0	1	#029e73	1
22	17745210	17762096	0	1	#029e73	1
22	17762116	17778193	0	1	#029e73	1
22	17778196	17790611	0	1	#029e73	1
22	17790624	17805743	0	1	#029e73	1
22	17805788	17820276	0	1	#029e73	1
22	17820277	17834615	0	1	#029e73	1
22	17834624	17849021	0	1	#029e73	1
22	17849051	17862053	0	1	#029e73	1
22	17862059	17875785	0	1	#029e73	1
22	17875884	17890695	0	1	#029e73	1
22	17890724	17902030	0	1	#029e73	1
22	17902040	17915181	0	1	#029e73	1
22	17915182	17928913	0	1	#029e73	1
22	17929018	17942014	0	1	#029e73	1
22	17942029	17956561	0	1	#029e73	1
22	17956573	17969800	0	1	#029e73	1
22	17969872	17984172	0	1	#029e73	1
22	17984281	17997652	0	1	#029e73	1
22	17997697	18012493	0	1	#029e73	1
22	18012550	18027161	0	1	#029e73	1
22	18027170	18041493	0	1	#029e73	1
22	18041524	18054895	0	1	#029e73	1
22	18054898	18069030	0	1	#029e73	1
22	18069039	18081919	0	1	#029e73	1
22	18081924	18097225	0	1	#029e73	1
22	18097260	18111643	0	1	#029e73	1
22	18111669	18126896	0	1	#029e73	1
22	18126897	18143182	0	1	#029e73	1
22	18143199	18160633	0	1	#029e73	1
22	18160643	18176255	0	1	#029e73	1
22	18176292	18193649	0	1	#029e73	1
22	18193650	18210043	0	1	#029e73	1
22	18210087	18224388	0	1	#029e73	1
