#chr	spos	epos	feature	size	color	ChrCopy
1	534247	893981	0	1	#cc78bc	1
1	894573	985460	0	1	#cc78bc	1
1	985826	1106684	0	1	#cc78bc	1
1	1106784	1206343	0	1	#cc78bc	1
1	1206619	1415012	0	1	#cc78bc	1
1	1415099	1603594	0	1	#cc78bc	1
1	1610539	1853394	0	1	#cc78bc	1
1	1854109	1961858	0	1	#cc78bc	1
1	1962112	2063164	0	1	#cc78bc	1
1	2066990	2227155	0	1	#cc78bc	1
1	2227422	2294844	0	1	#cc78bc	1
1	2299627	2366421	0	1	#cc78bc	1
1	2366579	2476879	0	1	#cc78bc	1
1	2480337	2748635	0	1	#cc78bc	1
1	2749442	2847488	0	1	#cc78bc	1
1	2847997	2943546	0	1	#cc78bc	1
1	2944086	3047252	0	1	#cc78bc	1
1	3047452	3126479	0	1	#cc78bc	1
1	3127538	3219901	0	1	#cc78bc	1
1	3220101	3301721	0	1	#cc78bc	1
1	3303260	3368143	0	1	#cc78bc	1
1	3369753	3450985	0	1	#cc78bc	1
1	3451005	3520539	0	1	#cc78bc	1
1	3520584	3600433	0	1	#cc78bc	1
1	3600799	3680729	0	1	#cc78bc	1
1	3681063	3794504	0	1	#cc78bc	1
1	3795092	4006432	0	1	#cc78bc	1
1	4007008	4090285	0	1	#cc78bc	1
1	4091072	4169341	0	1	#cc78bc	1
1	4170048	4238028	0	1	#cc78bc	1
1	4238038	4338586	0	1	#cc78bc	1
1	4339246	4408320	0	1	#cc78bc	1
1	4409496	4508348	0	1	#cc78bc	1
1	4509450	4587177	0	1	#cc78bc	1
1	4587785	4674439	0	1	#cc78bc	1
1	4675555	4748305	0	1	#cc78bc	1
1	4749076	4815477	0	1	#cc78bc	1
1	4815827	4890751	0	1	#cc78bc	1
1	4892026	4999350	0	1	#cc78bc	1
1	5000086	5089532	0	1	#cc78bc	1
1	5090161	5195371	0	1	#cc78bc	1
1	5196739	5291401	0	1	#cc78bc	1
1	5293365	5357073	0	1	#0173b2	1
1	5357171	5497133	0	1	#cc78bc	1
1	5497283	5597547	0	1	#0173b2	1
1	5597755	5686915	0	1	#cc78bc	1
1	5687196	5765246	0	1	#cc78bc	1
1	5765353	5855142	0	1	#cc78bc	1
1	5855417	5940243	0	1	#cc78bc	1
1	5940650	6088364	0	1	#0173b2	1
1	6088671	6184192	0	1	#cc78bc	1
1	6185064	6281792	0	1	#cc78bc	1
1	6281854	6403882	0	1	#cc78bc	1
1	6405560	6551692	0	1	#cc78bc	1
1	6552499	6677064	0	1	#cc78bc	1
1	6679848	6843511	0	1	#0173b2	1
1	6843928	7048653	0	1	#cc78bc	1
1	7048779	7140336	0	1	#0173b2	1
1	7141122	7245162	0	1	#0173b2	1
